,domain,nb_item,nb_item_search,nb_item_bought,413163,
5150,MLB-MEAT_BAND_SAWS,49,72,0,413163,100%
5152,MLM-WASHING_MACHINE_SHOCK_ABSORBERS,4,7,0,413163,100%
5153,MLB-DECORATIVE_PANELS,129,278,0,413163,100%
5154,MLB-TOY_KITE_STICKS,7,5,0,413163,100%
5157,MLB-DRINKING_GLASS_AND_MUG_IDENTIFIERS,3,4,0,413163,100%
5158,MLB-HABERDASHERY_BUTTONS,94,178,0,413163,100%
5162,MLM-AUTOMOTIVE_NITROUS_OXIDE_SYSTEMS,1,1,0,413163,100%
5165,MLB-AMERICAN_FOOTBALL_BALLS,30,42,0,413163,100%
5167,MLB-STRAIGHT_PINS,12,22,0,413163,100%
5168,MLB-FILE_BOXES,33,37,0,413163,100%
5171,MLM-VIOLIN_AND_VIOLA_STRINGS,6,8,0,413163,100%
5172,MLM-ARTIFICIAL_FEATHERS,6,18,0,413163,100%
5173,MLM-BROCHURES,1,3,0,413163,100%
5174,MLM-RISER_CARDS,3,4,0,413163,100%
5175,MLB-RIDING_STIRRUPS,33,41,0,413163,100%
5176,MLB-SAXOPHONES,328,476,0,413163,100%
5177,MLM-COIN_COUNTERS,3,2,0,413163,100%
5178,MLB-TATTOO_NEEDLE_CARTRIDGES,47,63,0,413163,100%
5179,MLM-PLANTING_KITS,12,13,0,413163,100%
5180,MLB-VEHICLE_BRAKE_HYDRAULIC_HOSES,53,62,0,413163,100%
5185,MLB-AUTOMOTIVE_PROGRAMMABLE_EMS,22,33,0,413163,100%
5186,MLB-CAR_DOOR_HINGES,80,91,0,413163,100%
5187,MLB-WATER_DISPENSER_HOSES,55,63,0,413163,100%
5189,MLM-BICYCLE_SHOCK_ABSORBERS,7,23,0,413163,100%
5191,MLM-HOSE_REELS,2,2,0,413163,100%
5192,MLB-KITCHEN_TIMERS,35,42,0,413163,100%
5193,MLB-TRIVETS,33,49,0,413163,100%
5194,MLM-GINGER,9,6,0,413163,100%
5195,MLB-SECURITY_SPIKES,40,114,0,413163,100%
5196,MLB-LANDS_FOR_RENT,7,4,0,413163,100%
5201,MLB-CLOTHING_RACKS,79,137,0,413163,100%
5204,MLM-HYDRAULIC_PRESSES,6,5,0,413163,100%
5209,MLB-PRESSOTHERAPY_MACHINES,7,10,0,413163,100%
5210,MLM-DOOR_HYDRAULIC_ARMS,2,0,0,413163,100%
5211,MLM-BATHROOM_GRAB_BARS,6,15,0,413163,100%
5212,MLM-STAPLERS,10,10,0,413163,100%
5213,MLM-GAME_CONSOLE_LASER_LENSES,9,7,0,413163,100%
5214,MLM-DIGITAL_PIANOS,3,2,0,413163,100%
5215,MLM-HOES,4,8,0,413163,100%
5216,MLM-CAMERA_AND_VIDEO_CAMERA_BAGS_AND_CASES,2,0,0,413163,100%
5217,MLM-KNITTING_NEEDLES,8,11,0,413163,100%
5218,MLM-NETWORK_PLUGS,12,51,0,413163,100%
5219,MLB-PLANT_POT_STANDS,26,27,0,413163,100%
5221,MLM-HUMAN_ORGAN_ANATOMICAL_MODELS,15,26,0,413163,100%
5222,MLM-FUEL_INJECTION_RAILS,4,3,0,413163,100%
5224,MLM-BALANCE_DISCS_AND_HALF_BALLS,1,2,0,413163,100%
5226,MLM-COLD_PORCELAIN_CLAYS,4,6,0,413163,100%
5227,MLB-LICE_COMBS,30,53,0,413163,100%
5229,MLM-TIMERS,11,9,0,413163,100%
5230,MLM-SWIMMING_KICKBOARDS,6,10,0,413163,100%
5231,MLB-KEYBOARD_AND_PIANO_BENCHES,20,22,0,413163,100%
5233,MLM-ANTIFUNGAL_MEDICINES,2,3,0,413163,100%
5236,MLB-HONEY,129,163,0,413163,100%
5239,MLM-AUTOMOTIVE_ALARM_KITS,3,8,0,413163,100%
5241,MLB-AXES,94,128,0,413163,100%
5242,MLB-FISHING_GLOVES_AND_MITTENS,55,76,0,413163,100%
5243,MLM-OPTICAL_LEVELS,3,3,0,413163,100%
5244,MLB-MOTORCYCLE_OIL_FILTERS,130,182,0,413163,100%
5245,MLM-AQUARIUM_SALTS,3,1,0,413163,100%
5248,MLM-COMPUTER_PRIVACY_SCREENS,4,3,0,413163,100%
5250,MLB-MOTORCYCLE_LIGHT_SWITCHES,146,213,0,413163,100%
5251,MLM-POTATO_MASHERS,3,18,0,413163,100%
5252,MLB-TROPHIES,138,223,0,413163,100%
5253,MLB-SANDBLASTERS,27,65,0,413163,100%
5254,MLM-CAR_QUARTER_GLASSES,4,4,0,413163,100%
5259,MLB-AUTOMOTIVE_CLIPS,85,96,0,413163,100%
5260,MLB-ARCADE_STICK_CASES,34,72,0,413163,100%
5261,MLB-PERCUSSION_CASES_AND_BAGS,110,170,0,413163,100%
5262,MLM-PEANUT_BUTTERS,5,9,0,413163,100%
5263,MLB-MOUTHWASHES,24,24,0,413163,100%
5264,MLB-WASHING_MACHINE_PULLEYS,42,76,0,413163,100%
5265,MLM-CONFETTI_MACHINES,1,1,0,413163,100%
5266,MLM-AUTOMOTIVE_TOW_STRAPS,3,3,0,413163,100%
5267,MLM-MOTORCYCLE_STARTER_MOTORS,2,1,0,413163,100%
5268,MLM-FOLDER_DIVIDERS,1,1,0,413163,100%
5269,MLM-PRINTER_POWER_SUPPLIES,4,6,0,413163,100%
5270,MLB-SHAPER_AND_MILLING_MACHINES,77,75,0,413163,100%
5271,MLB-BERRANTES,5,10,0,413163,100%
5274,MLM-MUSICAL_KEYBOARD_RUBBER_CONTACTS,1,1,0,413163,100%
5275,MLB-DRONE_BACKPACKS_AND_CASES,21,28,0,413163,100%
5276,MLB-CAR_TINTED_GLASSES,53,67,0,413163,100%
5278,MLM-BICYCLE_BASKETS,8,4,0,413163,100%
5280,MLB-EAR_TAG_APPLICATORS,10,12,0,413163,100%
5282,MLM-UNDERPLATES,6,9,0,413163,100%
5284,MLB-NEOPRENE_HOODS,9,7,0,413163,100%
5285,MLB-EROTIC_PANTIES,14,43,0,413163,100%
5286,MLM-STRAPPING_MACHINES_AND_TENSIONERS,3,3,0,413163,100%
5287,MLM-TRAINING_BIBS,4,3,0,413163,100%
5288,MLM-COLD_CUTS_AND_CASINGS,1,0,0,413163,100%
5290,MLM-BICYCLE_BRAKE_AND_SHIFTER_CABLES,2,3,0,413163,100%
5291,MLM-ELECTRIC_MEAT_MIXERS,7,1,0,413163,100%
5292,MLM-TOILET_DEODORIZERS,7,5,0,413163,100%
5294,MLB-SIM_CARD_EJECT_PINS,9,7,0,413163,100%
5301,MLM-DOG_AND_CAT_SANITARY_PANTIES,2,2,0,413163,100%
5303,MLB-PHOTOGRAPHS,42,35,0,413163,100%
5304,MLB-TABLE_RUNNERS,128,158,0,413163,100%
5305,MLB-DRUM_BRAKE_WHEEL_CYLINDERS,61,55,0,413163,100%
5308,MLB-SUTURE_THREADS,27,56,0,413163,100%
5309,MLM-MODEL_AIRCRAFT_PROPELLERS,5,0,0,413163,100%
5311,MLB-SWEDISH_BARS,10,13,0,413163,100%
5312,MLM-BICYCLE_DISC_BRAKE_ADAPTERS,2,3,0,413163,100%
5315,MLB-SEASONINGS,62,60,0,413163,100%
5316,MLB-CAT_LITTER_BOXES,86,156,0,413163,100%
5320,MLM-SPORT_PROTECTION_ELBOW_PADS,12,9,0,413163,100%
5321,MLM-STEEL_SCRAPERS,5,6,0,413163,100%
5322,MLM-VIDEO_CASSETTES,3,3,0,413163,100%
5323,MLM-SQUISHIES,19,18,0,413163,100%
5324,MLM-POWER_TROWELS,2,2,0,413163,100%
5325,MLM-TACTICAL_JACKETS,3,6,0,413163,100%
5326,MLM-STADIOMETERS,2,4,0,413163,100%
5327,MLM-TURNBUCKLES,4,9,0,413163,100%
5328,MLM-HONEY_SPOONS,2,3,0,413163,100%
5330,MLB-NAUTICAL_PROPELLERS,112,181,0,413163,100%
5331,MLB-AUTOMOTIVE_FLOOR_PANS,129,212,0,413163,100%
5332,MLM-BABY_FOODS,2,4,0,413163,100%
5333,MLM-KIDS_FAUCET_EXTENDERS,1,0,0,413163,100%
5334,MLB-MOTORCYCLE_MAGNETO_ROTORS,52,72,0,413163,100%
5336,MLB-FUEL_INJECTION_PIPES,13,13,0,413163,100%
5338,MLB-CONDENSED_MILK,41,72,0,413163,100%
5339,MLM-GOJI_BERRIES,5,6,0,413163,100%
5340,MLB-CONSTRUCTION_BEAMS,28,32,0,413163,100%
5341,MLB-EXTRUSION_MACHINES,38,46,0,413163,100%
5342,MLB-WORLD_GLOBES,53,51,0,413163,100%
5344,MLB-GYMNASTIC_AND_PILATES_HOOPS,3,5,0,413163,100%
5345,MLB-KITCHEN_FORKS,40,74,0,413163,100%
5346,MLM-TEXTILE_ELASTICS,3,3,0,413163,100%
5347,MLM-BEAM_AND_JOIST_BRACKETS,3,5,0,413163,100%
5348,MLM-DRONE_PROPELLER_GUARDS,2,3,0,413163,100%
5349,MLB-MUSICAL_ORGANS,46,65,0,413163,100%
5351,MLB-EYELASH_CURLERS,46,71,0,413163,100%
5354,MLM-AUTOMOTIVE_AIR_FILTER_BOXES,2,3,0,413163,100%
5355,MLB-AUTOMOTIVE_STEERING_U_JOINTS,22,19,0,413163,100%
5358,MLB-NAUTICAL_CANOPIES,45,57,0,413163,100%
5360,MLM-DIVING_BELTS,1,1,0,413163,100%
5361,MLM-MINING_RIGS,2,8,0,413163,100%
5362,MLB-GAME_CONSOLE_COOLERS,32,41,0,413163,100%
5366,MLB-CLIMBING_HARNESSES,48,67,0,413163,100%
5367,MLM-CPU_HOLDERS,4,3,0,413163,100%
5372,MLB-PONCHOS,72,86,0,413163,100%
5373,MLB-WALL_ANCHOR_PLUGS,143,194,0,413163,100%
5374,MLM-CAKE_LEVELERS,13,20,0,413163,100%
5375,MLM-HYDROPHILIC_COTTON,2,1,0,413163,100%
5376,MLB-AYRE_SCRAPERS,1,2,0,413163,100%
5377,MLB-WELDING_BLOWTORCHES,62,85,0,413163,100%
5378,MLM-MOTORCYCLE_SPOKE_COVERS,2,3,0,413163,100%
5379,MLM-AUTOMOTIVE_BLOWER_HEATER_MOTORS,2,4,0,413163,100%
5380,MLM-FOLDER_AND_EXPANDING_FILE_FILLER_PAPERS,2,3,0,413163,100%
5381,MLB-IGNITION_CONTROL_MODULES,150,186,0,413163,100%
5385,MLB-NEGATOSCOPES,18,34,0,413163,100%
5388,MLM-CAMPING_MESS_KITS,1,3,0,413163,100%
5389,MLM-CAR_AC_EXPANSION_VALVES,4,1,0,413163,100%
5390,MLM-COLLECTIBLE_CANS_AND_BOTTLES,1,1,0,413163,100%
5391,MLM-BICYCLE_STEMS,1,1,0,413163,100%
5394,MLB-DENTAL_CHAIRS,65,82,0,413163,100%
5397,MLB-LIP_GLOSSES,95,104,0,413163,100%
5399,MLM-SWEET_PREMIXES,1,2,0,413163,100%
5400,MLM-FACIAL_TISSUES,1,1,0,413163,100%
5402,MLM-QUEUE_STANCHIONS,1,1,0,413163,100%
5404,MLM-CONSTRUCTION_TILE_GROUTS,2,1,0,413163,100%
5405,MLB-TOY_KITE_HANDLES_AND_REELS,18,18,0,413163,100%
5406,MLM-AUTOMOTIVE_DISTRIBUTOR_PICKUP_COILS,1,0,0,413163,100%
5407,MLB-COFFEE_AND_FOOD_DECORATIVE_STENCILS,2,3,0,413163,100%
5408,MLB-BEER_BREWING_EQUIPMENTS,69,136,0,413163,100%
5409,MLM-CLEANING_AND_BATH_SPONGE_HOLDERS,3,7,0,413163,100%
5410,MLM-AUTOMOTIVE_MANUAL_TRANSMISSION_SHIFT_CABLES,3,2,0,413163,100%
5413,MLM-CAMERA_BATTERY_GRIPS,5,7,0,413163,100%
5414,MLM-FIBER_OPTIC_SPLICE_CLOSURES,1,1,0,413163,100%
5417,MLB-BLU_RAY_PLAYERS,61,95,0,413163,100%
5418,MLB-SPEAKER_GRILLS,129,131,0,413163,100%
5419,MLB-DISTRIBUTION_KITS,108,121,0,413163,100%
5421,MLB-BOLT_CUTTERS,29,57,0,413163,100%
5424,MLB-MEASURING_CUPS_AND_JUGS,22,25,0,413163,100%
5425,MLM-AUTOMOTIVE_TRASH_BAGS,1,0,0,413163,100%
5426,MLB-AUTOMOTIVE_TURN_SIGNAL_LIGHT_LENSES,69,64,0,413163,100%
5427,MLM-PREFABRICATED_FIBERGLASS_POOLS,4,13,0,413163,100%
5431,MLM-LENS_HOODS,5,9,0,413163,100%
5432,MLM-MOTORCYCLE_HANDLEBAR_PADS,10,17,0,413163,100%
5433,MLM-MOTORCYCLE_SUMP_GUARDS,1,1,0,413163,100%
5436,MLM-MOTORCYCLE_SPEEDOMETER_CABLES,4,5,0,413163,100%
5437,MLB-PLUMB_BOBS,21,12,0,413163,100%
5439,MLB-NURSING_PADS,36,46,0,413163,100%
5440,MLM-SUN_TANNER_PRODUCTS,4,4,0,413163,100%
5441,MLM-KITCHEN_BAKING_DISHES_AND_SHEETS,2,4,0,413163,100%
5444,MLM-BROOM_HOLDERS,5,14,0,413163,100%
5445,MLB-MILITARY_COLLECTIBLE_SUPPLIES,280,340,0,413163,100%
5448,MLB-KITCHEN_SPOONS,66,93,0,413163,100%
5450,MLM-PHOTOCONTROLS,4,2,0,413163,100%
5451,MLM-FURNITURE_LEGS,10,9,0,413163,100%
5452,MLM-MAGNETIC_THERAPY_MACHINES,3,3,0,413163,100%
5453,MLM-APPETIZER_PICKS,5,2,0,413163,100%
5457,MLM-DIGITAL_TIRE_GAUGES,1,1,0,413163,100%
5458,MLM-TOILET_BRUSHES,2,2,0,413163,100%
5459,MLM-ANTIQUE_CHAIRS,5,3,0,413163,100%
5460,MLB-NETWORK_CABLE_TESTERS,27,24,0,413163,100%
5461,MLB-GARDENING_AND_AGRICULTURE_SUBSTRATES,30,33,0,413163,100%
5462,MLB-AIR_CONDITIONERS_COMPRESSORS,31,41,0,413163,100%
5467,MLB-TV_TUNERS,35,34,0,413163,100%
5468,MLB-VEHICLE_BRAKE_FLUIDS,3,3,0,413163,100%
5469,MLB-MECHANICAL_PENCIL_LEADS,9,7,0,413163,100%
5471,MLB-HEMOSTATS,12,10,0,413163,100%
5473,MLB-EROTIC_PARTY_SUPPLIES,33,31,0,413163,100%
5475,MLM-BICYCLE_TRAINERS,7,2,0,413163,100%
5476,MLM-BREADS,5,1,0,413163,100%
5477,MLM-PHOTOGRAPHS,1,6,0,413163,100%
5478,MLM-CELLPHONE_REPLACEMENT_MICROPHONES,4,2,0,413163,100%
5479,MLM-TOY_VANITIES,6,16,0,413163,100%
5481,MLM-POTATO_PEELERS,1,1,0,413163,100%
5484,MLB-TACTICAL_POUCHES,55,107,0,413163,100%
5485,MLM-EYEBROW_STENCILS,4,8,0,413163,100%
5486,MLM-PRINTER_SUPPLIES_KITS,1,0,0,413163,100%
5487,MLM-PROTECTIVE_ADHESIVE_BANDAGES,3,1,0,413163,100%
5489,MLB-MOTORCYCLE_NECK_BRACES,25,46,0,413163,100%
5490,MLM-FLOATING_CHLORINE_DISPENSERS,2,0,0,413163,100%
5491,MLB-RETRO_EXCAVATORS,90,163,0,413163,100%
5492,MLB-POTATO_PEELERS,12,11,0,413163,100%
5493,MLB-SPEAKERS_STANDS,23,32,0,413163,100%
5495,MLB-PRINTER_POWER_SUPPLIES,53,74,0,413163,100%
5496,MLM-PRINTER_TRANSPARENCIES,5,5,0,413163,100%
5497,MLM-BICYCLE_TIRE_SEALANTS,4,4,0,413163,100%
5498,MLM-TONFA_AND_SELF_DEFENSE_BATON_HOLDERS,2,4,0,413163,100%
5499,MLB-MOTORCYCLE_BRAKE_CABLES,28,39,0,413163,100%
5500,MLM-SECURITY_MONITORS,1,2,0,413163,100%
5501,MLM-BABY_FOOD_DISPENSER_SPOONS,2,4,0,413163,100%
5502,MLB-FISHING_SPEARGUNS,88,181,0,413163,100%
5503,MLB-PATCH_PANELS,50,56,0,413163,100%
5504,MLM-CONSTRUCTION_GRAVELS,2,3,0,413163,100%
5505,MLB-AUTOMOTIVE_CRANKSHAFT_GEARS,15,13,0,413163,100%
5506,MLB-CALLER_ID_DEVICES,9,11,0,413163,100%
5507,MLM-PET_STAIRS_AND_RAMPS,3,1,0,413163,100%
5509,MLM-BATH_BOMBS,2,0,0,413163,100%
5510,MLM-OPHTHALMOSCOPES,1,1,0,413163,100%
5511,MLM-TABLE_SAWS,1,4,0,413163,100%
5512,MLM-LEG_WARMERS,5,11,0,413163,100%
5513,MLB-MODEL_RAILROADING_WAGONS,28,24,0,413163,100%
5514,MLB-BICYCLE_V_BRAKE_BRAKE_PADS,5,11,0,413163,100%
5515,MLM-AUTOMOTIVE_SHOCK_ABSORBER_BUMP_STOPS,1,2,0,413163,100%
5516,MLB-ELECTRIC_POLE_SAWS,7,3,0,413163,100%
5518,MLM-EMBROIDERY_DESIGNS,4,8,0,413163,100%
5520,MLB-COUNTERTOPS,28,45,0,413163,100%
5521,MLB-AUTOMOTIVE_MANUAL_TRANSMISSION_SHIFT_LEVERS,119,167,0,413163,100%
5522,MLB-INVISIBLE_PET_FENCES,20,54,0,413163,100%
5523,MLB-COLLECTIBLE_MILITARY_HELMETS,16,21,0,413163,100%
5524,MLM-PLUNGERS,2,3,0,413163,100%
5526,MLB-BEACH_PADDLES,34,51,0,413163,100%
5527,MLM-TOY_MIXERS,4,7,0,413163,100%
5528,MLB-CAR_EXHAUSTS,38,53,0,413163,100%
5529,MLM-MASONRY_TROWELS,2,1,0,413163,100%
5530,MLM-SKID_STEER_LOADERS,6,6,0,413163,100%
5531,MLB-SLEDGEHAMMERS,37,156,0,413163,100%
5533,MLB-AUTOMOTIVE_HOOD_INSULATION_PADS,14,14,0,413163,100%
5534,MLB-DOOR_STOPPERS,18,26,0,413163,100%
5536,MLM-DRONE_LANDING_GEARS,2,1,0,413163,100%
5537,MLM-BICYCLE_BELLS,3,3,0,413163,100%
5538,MLM-GRASS_PAVERS,1,1,0,413163,100%
5540,MLB-WALL_CHASERS,82,184,0,413163,100%
5542,MLB-WINDSHIELDS,292,381,0,413163,100%
5545,MLB-DRONE_BATTERY_CHARGERS,18,6,0,413163,100%
5546,MLM-REFEREE_CARDS,1,0,0,413163,100%
5547,MLB-HAND_BRAKE_CABLES,101,85,0,413163,100%
5548,MLB-HYDRAULIC_STACKERS,15,9,0,413163,100%
5550,MLB-AUTOMOTIVE_SUSPENSION_CONTROL_ARMS,384,369,0,413163,100%
5553,MLM-RADIOFREQUENCY_POWER_SUPPLIES,1,0,0,413163,100%
5555,MLB-DANCE_COSTUMES,64,83,0,413163,100%
5556,MLB-WELDING_RODS,158,272,0,413163,100%
5557,MLB-COMMERCIAL_KITCHEN_WORK_TABLES,47,86,0,413163,100%
5559,MLB-LOADERS,97,116,0,413163,100%
5561,MLB-STORAGE_DRUMS,57,86,0,413163,100%
5563,MLM-HOT_FOOD_DISPLAY_CASES,1,1,0,413163,100%
5564,MLB-TEMPERAS,26,23,0,413163,100%
5566,MLB-HAIR_DRYER_HOLDERS,20,21,0,413163,100%
5568,MLB-IRRIGATION_DRIPPERS,25,35,0,413163,100%
5569,MLM-GINS,5,8,0,413163,100%
5570,MLB-NASAL_CPAP_MASKS,33,30,0,413163,100%
5571,MLB-DOG_POOP_BAGS,17,31,0,413163,100%
5573,MLM-TACTICAL_FANNY_PACKS,3,2,0,413163,100%
5574,MLM-TOY_WASHING_MACHINES,2,1,0,413163,100%
5575,MLB-ELLIPTICAL_MACHINES,94,135,0,413163,100%
5576,MLM-DANCE_MATS,2,3,0,413163,100%
5577,MLM-IDENTIFICATION_WRISTBANDS,1,0,0,413163,100%
5578,MLM-HEDGE_TRIMMERS,6,5,0,413163,100%
5579,MLM-MARTIAL_ARTS_FOOT_GUARDS,2,5,0,413163,100%
5580,MLB-INDUSTRIAL_SAWS,116,219,0,413163,100%
5581,MLB-ENERGETIC_STONES,16,36,0,413163,100%
5583,MLB-PET_JACKETS_AND_COATS,27,42,0,413163,100%
5584,MLM-AUTOMOTIVE_REAR_BODY_TAIL_LIGHT_PANELS,3,5,0,413163,100%
5585,MLM-TOOL_ARMATURES,5,0,0,413163,100%
5586,MLB-MILK_POTS,68,102,0,413163,100%
5587,MLB-LIQUID_DOG_AND_CAT_REPELLENTS,7,15,0,413163,100%
5589,MLB-SAXOPHONE_MOUTHPIECES,159,236,0,413163,100%
5595,MLB-HEARING_AIDS,44,58,0,413163,100%
5596,MLM-DRONES_FLEX_CABLES,3,1,0,413163,100%
5598,MLB-MOTORCYCLE_KICK_LEVER_PEDAL_SPRINGS,7,14,0,413163,100%
5600,MLB-MONEY_BOXES,109,203,0,413163,100%
5601,MLM-AUTOMATIC_BARRIERS,7,14,0,413163,100%
5602,MLB-DOMESTIC_WORKER_UNIFORMS,23,49,0,413163,100%
5605,MLB-HEAT_SINKS,28,34,0,413163,100%
5607,MLB-MOTORCYCLE_SADDLEBAGS,107,139,0,413163,100%
5609,MLM-GUINEA_PIGS,6,10,0,413163,100%
5610,MLB-TACTICAL_UNIFORMS,40,42,0,413163,100%
5611,MLB-SCALE_RULERS,8,13,0,413163,100%
5613,MLB-DRUM_PEDALS,67,64,0,413163,100%
5614,MLB-LETTER_TRAYS,21,17,0,413163,100%
5615,MLB-INDUSTRIAL_VEGETABLE_AND_FRUIT_PEELERS,9,12,0,413163,100%
5617,MLB-INSECTICIDES,103,173,0,413163,100%
5618,MLB-BOOMERANGS,18,16,0,413163,100%
5619,MLM-MOTORCYCLE_WHEEL_HUBS,4,2,0,413163,100%
5620,MLM-CORK_SHEETS_AND_ROLLS,2,4,0,413163,100%
5621,MLM-SEX_MACHINES,1,1,0,413163,100%
5624,MLB-AUTOMOTIVE_INNER_TIE_RODS,55,53,0,413163,100%
5625,MLB-POLYURETHANE_LIQUID_FOAMS,24,45,0,413163,100%
5626,MLM-IAT_SENSORS,4,6,0,413163,100%
5627,MLM-AUTOMATIC_PAD_PRINTING_MACHINES,3,2,0,413163,100%
5628,MLB-SWIMMING_KICKBOARDS,26,44,0,413163,100%
5629,MLB-MOTORCYCLE_TAIL_LIGHTS,196,289,0,413163,100%
5630,MLB-ENGINE_VALVES_SPRING_RETAINERS,26,24,0,413163,100%
5631,MLM-TOILET_FLUSH_VALVES,3,2,0,413163,100%
5632,MLM-HAND_AND_FOOT_MASKS,6,12,0,413163,100%
5635,MLM-OFFSET_PRINTERS,6,5,0,413163,100%
5636,MLB-TRANSFER_CASES,27,23,0,413163,100%
5637,MLM-DC_POWER_JACK_CONNECTORS,5,5,0,413163,100%
5638,MLB-MOTORCYCLE_SPEEDOMETER_CABLES,49,51,0,413163,100%
5639,MLB-SNARE_DRUMS,102,178,0,413163,100%
5640,MLM-CANDY_AND_CHOCOLATE_JARS,2,0,0,413163,100%
5642,MLB-NOSE_SHAPERS,26,58,0,413163,100%
5643,MLB-BEER_FERMENTERS,42,41,0,413163,100%
5646,MLB-AUTOMOTIVE_BRAKE_MASTER_CYLINDER_RESERVOIRS,84,115,0,413163,100%
5647,MLB-MOTORCYCLE_CLUTCH_DISCS,100,117,0,413163,100%
5649,MLM-ANTI_STATIC_BAGS,3,9,0,413163,100%
5650,MLM-ROLLER_SKATE_WHEELS,4,0,0,413163,100%
5651,MLM-TEA_STORAGE_CHESTS,2,6,0,413163,100%
5652,MLM-HAIR_DRYER_HOLDERS,1,4,0,413163,100%
5653,MLB-WATER_DISPENSER_TOP_COVERS,26,23,0,413163,100%
5654,MLM-HAND_SAWS,10,8,0,413163,100%
5655,MLB-IRONING_BOARDS,104,230,0,413163,100%
5656,MLB-ENGINE_BLOCKS,61,86,0,413163,100%
5657,MLB-MOTORCYCLE_ENGINE_GASKET_SETS,80,78,0,413163,100%
5658,MLM-PLATE_COMPACTORS,2,1,0,413163,100%
5659,MLM-BABY_CAR_MIRRORS,4,3,0,413163,100%
5660,MLB-EROTIC_CLOTHING,47,54,0,413163,100%
5661,MLM-CONSTRUCTION_INSULATION_ROLLS,6,4,0,413163,100%
5662,MLM-SIM_CARD_EJECT_PINS,1,0,0,413163,100%
5664,MLB-SALTY_SNACKS,55,65,0,413163,100%
5665,MLB-3D_GLASSES,54,65,0,413163,100%
5667,MLM-EROTIC_PANTIES,6,9,0,413163,100%
5669,MLM-WATER_DISPENSER_TAPS,2,2,0,413163,100%
5670,MLM-SUGAR,3,8,0,413163,100%
5671,MLM-DOG_AND_CAT_BLANKETS,1,1,0,413163,100%
5672,MLM-CLAPPERBOARDS,4,6,0,413163,100%
5673,MLB-AUTOMOTIVE_ENGINE_VALVE_COVERS,124,127,0,413163,100%
5674,MLM-SEX_TOY_KITS,8,11,0,413163,100%
5677,MLM-BAKERY_MOULDERS,1,2,0,413163,100%
5678,MLM-POOL_HOSES,5,10,0,413163,100%
5680,MLB-TACTICAL_SUPPLY_KITS,34,72,0,413163,100%
5682,MLM-MAGNETIC_AQUARIUM_CLEANERS,1,1,0,413163,100%
5683,MLM-FLOPPY_DRIVES,2,3,0,413163,100%
5686,MLB-SKATEBOARD_DECKS,33,39,0,413163,100%
5687,MLB-WOOD_OVENS,79,208,0,413163,100%
5693,MLM-SHOE_BRUSHES,1,0,0,413163,100%
5694,MLM-INHALER_SPACERS,1,1,0,413163,100%
5695,MLM-FISHING_BOOTS,1,1,0,413163,100%
5696,MLM-AC_COMPRESSOR_CLUTCH_COILS,1,0,0,413163,100%
5699,MLB-MOTORCYCLE_FOOT_PEG_BRACKETS,114,133,0,413163,100%
5702,MLM-TIRE_SNOW_CHAINS,2,0,0,413163,100%
5703,MLB-KITCHEN_FUNNELS,23,26,0,413163,100%
5704,MLB-SKIN_REPELLENTS,33,48,0,413163,100%
5705,MLB-CATS_AND_DOGS_TREATS,62,85,0,413163,100%
5707,MLM-PARTY_POM_POMS,1,1,0,413163,100%
5708,MLB-INDUSTRIAL_IRONING_BOARDS,3,3,0,413163,100%
5709,MLB-DISPOSABLE_AND_REFILLABLE_RAZORS,79,144,0,413163,100%
5712,MLM-EDIBLE_MARKERS,2,2,0,413163,100%
5713,MLB-GARDEN_SOIL,61,72,0,413163,100%
5714,MLM-KID_SKATEBOARDS,2,6,0,413163,100%
5715,MLM-ELECTRIC_POTS_AND_SKILLETS,4,4,0,413163,100%
5716,MLM-AUTOMOTIVE_REVERSE_LIGHT_SWITCHES,4,4,0,413163,100%
5717,MLM-GROIN_GUARDS,5,6,0,413163,100%
5718,MLB-CULINARY_UNIFORMS,46,66,0,413163,100%
5719,MLB-CARBURETOR_CHOKE_CABLES,39,28,0,413163,100%
5720,MLB-WOODEN_CRATES,31,42,0,413163,100%
5722,MLB-GYM_WEIGHT_AND_BAR_RACKS,26,35,0,413163,100%
5724,MLM-GAME_CONSOLE_ACCESSORIES_KITS,3,3,0,413163,100%
5725,MLM-PINCERS,1,0,0,413163,100%
5726,MLB-ICE_CREAM_MACHINES,39,128,0,413163,100%
5727,MLM-AUTOMOTIVE_OBD_CABLE_ADAPTERS,3,16,0,413163,100%
5729,MLB-BANJOS,48,28,0,413163,100%
5730,MLM-WATER_TANK_LIDS,2,2,0,413163,100%
5732,MLM-ORTHODONTIC_RETAINER_BOXES,3,3,0,413163,100%
5733,MLM-RUGBY_JERSEYS,1,0,0,413163,100%
5734,MLM-SWIMMING_POOL_HEATERS,2,4,0,413163,100%
5735,MLM-INJECTION_PUMPS,5,3,0,413163,100%
5736,MLM-LIGHT_METERS,1,0,0,413163,100%
5738,MLM-BASIC_FOOD_BASKETS,1,1,0,413163,100%
5739,MLB-CURTAIN_RODS,48,77,0,413163,100%
5740,MLB-PARAGLIDERS,71,71,0,413163,100%
5741,MLM-STUFFED_PET_TOYS,1,1,0,413163,100%
5742,MLB-APARTMENTS_FOR_VACATION_RENTAL,65,70,0,413163,100%
5743,MLM-AUTOMOTIVE_HEADLIGHT_SUPPORT_BRACKETS,2,1,0,413163,100%
5744,MLM-GARDEN_MACHINE_TRIMMER_LINES,6,10,0,413163,100%
